{'loss': [0.6800846457481384], 'acc': [0.7147018909454346], 'val_loss': [0.6758851408958435], 'val_acc': [0.7025874257087708]}
{'loss': [0.5161353945732117], 'acc': [0.7906628251075745], 'val_loss': [0.7681827545166016], 'val_acc': [0.68771892786026]}
{'loss': [0.4400884807109833], 'acc': [0.8367688059806824], 'val_loss': [0.8826680779457092], 'val_acc': [0.675316572189331]}
{'loss': [0.4076533913612366], 'acc': [0.8515057563781738], 'val_loss': [1.017169713973999], 'val_acc': [0.6767922043800354]}
{'loss': [0.3613695800304413], 'acc': [0.8712751865386963], 'val_loss': [0.8511148691177368], 'val_acc': [0.6923964619636536]}
{'loss': [0.3348185122013092], 'acc': [0.8829429149627686], 'val_loss': [0.9805504083633423], 'val_acc': [0.6835770606994629]}
{'loss': [0.3052701950073242], 'acc': [0.8937029838562012], 'val_loss': [1.1798977851867676], 'val_acc': [0.6785808801651001]}
{'loss': [0.2765474021434784], 'acc': [0.9040418863296509], 'val_loss': [1.4346140623092651], 'val_acc': [0.6354959607124329]}
{'loss': [0.27081331610679626], 'acc': [0.9062749743461609], 'val_loss': [1.0845463275909424], 'val_acc': [0.674990177154541]}
{'loss': [0.2449132651090622], 'acc': [0.9157052040100098], 'val_loss': [1.201806902885437], 'val_acc': [0.6814923882484436]}
{'loss': [0.23273561894893646], 'acc': [0.9197703003883362], 'val_loss': [1.3364169597625732], 'val_acc': [0.6777738332748413]}
{'loss': [0.21316765248775482], 'acc': [0.926393449306488], 'val_loss': [1.6491904258728027], 'val_acc': [0.6607407927513123]}
