{'loss': [1.3065791130065918], 'acc': [0.39632612466812134], 'val_loss': [1.182145118713379], 'val_acc': [0.478231281042099]}
{'loss': [1.0392189025878906], 'acc': [0.5500771999359131], 'val_loss': [1.0994662046432495], 'val_acc': [0.5499006509780884]}
{'loss': [0.9082579016685486], 'acc': [0.6072016954421997], 'val_loss': [1.203141212463379], 'val_acc': [0.49243250489234924]}
{'loss': [0.8269815444946289], 'acc': [0.6400842666625977], 'val_loss': [3.673041343688965], 'val_acc': [0.5537822842597961]}
{'loss': [0.769603967666626], 'acc': [0.6651506423950195], 'val_loss': [1.5832114219665527], 'val_acc': [0.4938391447067261]}
{'loss': [0.731745183467865], 'acc': [0.6825017929077148], 'val_loss': [0.8794049024581909], 'val_acc': [0.6169754266738892]}
{'loss': [0.6937012672424316], 'acc': [0.7005459666252136], 'val_loss': [1.4636448621749878], 'val_acc': [0.46856144070625305]}
{'loss': [0.668178141117096], 'acc': [0.7147994041442871], 'val_loss': [1.9609216451644897], 'val_acc': [0.4826165437698364]}
{'loss': [0.6355783343315125], 'acc': [0.73296719789505], 'val_loss': [1.5230536460876465], 'val_acc': [0.5352004170417786]}
{'loss': [0.6149933338165283], 'acc': [0.7437318563461304], 'val_loss': [1.0274951457977295], 'val_acc': [0.5802872180938721]}
{'loss': [0.5857206583023071], 'acc': [0.7577211260795593], 'val_loss': [3.067371129989624], 'val_acc': [0.38947319984436035]}
{'loss': [0.561458945274353], 'acc': [0.7705606818199158], 'val_loss': [1.4716633558273315], 'val_acc': [0.5488874912261963]}
{'loss': [0.5339298248291016], 'acc': [0.7810442447662354], 'val_loss': [1.1542588472366333], 'val_acc': [0.5729940533638]}
{'loss': [0.5221060514450073], 'acc': [0.7884599566459656], 'val_loss': [1.572241187095642], 'val_acc': [0.558772623538971]}
{'loss': [0.49071788787841797], 'acc': [0.8030928373336792], 'val_loss': [3.8949551582336426], 'val_acc': [0.4376092255115509]}
{'loss': [0.47477465867996216], 'acc': [0.8098528981208801], 'val_loss': [2.9245965480804443], 'val_acc': [0.453331857919693]}
{'loss': [0.46266114711761475], 'acc': [0.8159152269363403], 'val_loss': [1.3840068578720093], 'val_acc': [0.5798331499099731]}
{'loss': [0.44090524315834045], 'acc': [0.8262189626693726], 'val_loss': [4.530902862548828], 'val_acc': [0.36354246735572815]}
{'loss': [0.43879395723342896], 'acc': [0.8283402323722839], 'val_loss': [2.6996071338653564], 'val_acc': [0.5260425209999084]}
{'loss': [0.4123589098453522], 'acc': [0.8396079540252686], 'val_loss': [9.578141212463379], 'val_acc': [0.27862539887428284]}
