{'loss': [0.7814571261405945], 'acc': [0.6920472979545593], 'val_loss': [0.7794232368469238], 'val_acc': [0.6821657419204712]}
{'loss': [0.5738970637321472], 'acc': [0.7780914306640625], 'val_loss': [0.9473425149917603], 'val_acc': [0.6129154562950134]}
{'loss': [0.4746395945549011], 'acc': [0.8262931108474731], 'val_loss': [1.0593639612197876], 'val_acc': [0.5642820000648499]}
{'loss': [0.40551093220710754], 'acc': [0.8564295172691345], 'val_loss': [1.0889899730682373], 'val_acc': [0.5992756485939026]}
{'loss': [0.36440831422805786], 'acc': [0.8722411394119263], 'val_loss': [1.2927298545837402], 'val_acc': [0.5878167152404785]}
{'loss': [0.3277539312839508], 'acc': [0.8873730301856995], 'val_loss': [1.3492541313171387], 'val_acc': [0.5832611918449402]}
{'loss': [0.2803836166858673], 'acc': [0.904211699962616], 'val_loss': [1.5081169605255127], 'val_acc': [0.5854620933532715]}
{'loss': [0.25706183910369873], 'acc': [0.9121710062026978], 'val_loss': [1.5477981567382812], 'val_acc': [0.5914310812950134]}
{'loss': [0.24445943534374237], 'acc': [0.9160559177398682], 'val_loss': [1.45033597946167], 'val_acc': [0.6074739098548889]}
{'loss': [0.21364043653011322], 'acc': [0.9277322292327881], 'val_loss': [1.6288548707962036], 'val_acc': [0.6122710108757019]}
{'loss': [0.2211463302373886], 'acc': [0.9254711270332336], 'val_loss': [1.48927903175354], 'val_acc': [0.6340477466583252]}
{'loss': [0.1835874766111374], 'acc': [0.9384180307388306], 'val_loss': [1.671359658241272], 'val_acc': [0.6234269738197327]}
{'loss': [0.17881835997104645], 'acc': [0.9396874904632568], 'val_loss': [1.573337197303772], 'val_acc': [0.6355820894241333]}
{'loss': [0.16395044326782227], 'acc': [0.945543110370636], 'val_loss': [1.5128446817398071], 'val_acc': [0.6516681909561157]}
{'loss': [0.16074120998382568], 'acc': [0.9461685419082642], 'val_loss': [2.0182623863220215], 'val_acc': [0.6101837158203125]}
{'loss': [0.13994856178760529], 'acc': [0.9537104964256287], 'val_loss': [1.8526932001113892], 'val_acc': [0.623961865901947]}
{'loss': [0.14063385128974915], 'acc': [0.9540055990219116], 'val_loss': [2.4313442707061768], 'val_acc': [0.6013108491897583]}
{'loss': [0.1262805312871933], 'acc': [0.9587593674659729], 'val_loss': [2.226684808731079], 'val_acc': [0.6084045171737671]}
{'loss': [0.12521079182624817], 'acc': [0.9592733979225159], 'val_loss': [1.9834879636764526], 'val_acc': [0.633583664894104]}
{'loss': [0.11528599262237549], 'acc': [0.9624891877174377], 'val_loss': [2.072457790374756], 'val_acc': [0.6000564098358154]}
{'loss': [0.11900577694177628], 'acc': [0.9612874388694763], 'val_loss': [2.403656005859375], 'val_acc': [0.6164946556091309]}
{'loss': [0.130596324801445], 'acc': [0.9577784538269043], 'val_loss': [2.1409406661987305], 'val_acc': [0.589286744594574]}
{'loss': [0.10427378863096237], 'acc': [0.9664192795753479], 'val_loss': [2.0491113662719727], 'val_acc': [0.6336133480072021]}
{'loss': [0.10316983610391617], 'acc': [0.9668731689453125], 'val_loss': [2.2493174076080322], 'val_acc': [0.6222370266914368]}
{'loss': [0.09831792861223221], 'acc': [0.9689947366714478], 'val_loss': [2.5488672256469727], 'val_acc': [0.6073343753814697]}
{'loss': [0.08250700682401657], 'acc': [0.9736325144767761], 'val_loss': [2.646831750869751], 'val_acc': [0.6162084937095642]}
{'loss': [0.10619256645441055], 'acc': [0.9654842019081116], 'val_loss': [2.3844778537750244], 'val_acc': [0.60611492395401]}
{'loss': [0.08637594431638718], 'acc': [0.9721865653991699], 'val_loss': [1.99468994140625], 'val_acc': [0.6384613513946533]}
{'loss': [0.10146895051002502], 'acc': [0.9687362909317017], 'val_loss': [2.363299608230591], 'val_acc': [0.6000717282295227]}
{'loss': [0.10637018084526062], 'acc': [0.9655277132987976], 'val_loss': [2.280233383178711], 'val_acc': [0.6240981221199036]}
