{'loss': [1.066806674003601], 'acc': [0.539175271987915], 'val_loss': [1.102847933769226], 'val_acc': [0.5440827012062073]}
{'loss': [0.8705052137374878], 'acc': [0.6037838459014893], 'val_loss': [1.02890145778656], 'val_acc': [0.5450146198272705]}
{'loss': [0.8038711547851562], 'acc': [0.6364957690238953], 'val_loss': [0.899283766746521], 'val_acc': [0.5906159281730652]}
{'loss': [0.7550636529922485], 'acc': [0.6620444655418396], 'val_loss': [0.7256886959075928], 'val_acc': [0.6782948970794678]}
{'loss': [0.714024543762207], 'acc': [0.6856245994567871], 'val_loss': [0.9219092726707458], 'val_acc': [0.5909196734428406]}
{'loss': [0.686263382434845], 'acc': [0.7004557251930237], 'val_loss': [0.9993869662284851], 'val_acc': [0.5790443420410156]}
{'loss': [0.6648289561271667], 'acc': [0.7128124833106995], 'val_loss': [0.7890212535858154], 'val_acc': [0.6619848608970642]}
{'loss': [0.6436845064163208], 'acc': [0.7231054306030273], 'val_loss': [1.0526641607284546], 'val_acc': [0.5981589555740356]}
{'loss': [0.6177769899368286], 'acc': [0.7360571026802063], 'val_loss': [0.8260678648948669], 'val_acc': [0.6624822020530701]}
{'loss': [0.5999959111213684], 'acc': [0.7462361454963684], 'val_loss': [0.8044159412384033], 'val_acc': [0.6476230621337891]}
{'loss': [0.597844660282135], 'acc': [0.7471334338188171], 'val_loss': [0.9138696193695068], 'val_acc': [0.6477921605110168]}
{'loss': [0.5679107308387756], 'acc': [0.7634462118148804], 'val_loss': [0.8339243531227112], 'val_acc': [0.650701642036438]}
{'loss': [0.5564472079277039], 'acc': [0.7685902714729309], 'val_loss': [1.1336127519607544], 'val_acc': [0.5767826437950134]}
{'loss': [0.5395237803459167], 'acc': [0.7772433161735535], 'val_loss': [0.9127975702285767], 'val_acc': [0.6464731097221375]}
{'loss': [0.5310982465744019], 'acc': [0.7816243171691895], 'val_loss': [0.8686264753341675], 'val_acc': [0.6674281358718872]}
{'loss': [0.9289299845695496], 'acc': [0.6106582283973694], 'val_loss': [1.1291950941085815], 'val_acc': [0.49031496047973633]}
{'loss': [1.18275785446167], 'acc': [0.46361100673675537], 'val_loss': [1.0396884679794312], 'val_acc': [0.5446456670761108]}
{'loss': [1.110473394393921], 'acc': [0.5024508237838745], 'val_loss': [1.0479650497436523], 'val_acc': [0.5312737226486206]}
