{'loss': [0.6183732748031616], 'acc': [0.7332485318183899], 'val_loss': [0.9151763916015625], 'val_acc': [0.6381921172142029]}
{'loss': [0.5098916292190552], 'acc': [0.7844043374061584], 'val_loss': [0.8613353371620178], 'val_acc': [0.6680428981781006]}
{'loss': [0.4599069058895111], 'acc': [0.8088396787643433], 'val_loss': [1.080986499786377], 'val_acc': [0.6319619417190552]}
{'loss': [0.4103565216064453], 'acc': [0.8332477807998657], 'val_loss': [0.9895195364952087], 'val_acc': [0.6454585790634155]}
{'loss': [0.3817799985408783], 'acc': [0.8462904691696167], 'val_loss': [1.0425785779953003], 'val_acc': [0.6492908596992493]}
{'loss': [0.36119455099105835], 'acc': [0.8575505614280701], 'val_loss': [1.0430903434753418], 'val_acc': [0.6608698964118958]}
{'loss': [0.32796287536621094], 'acc': [0.8719468116760254], 'val_loss': [1.052584171295166], 'val_acc': [0.6521306037902832]}
{'loss': [0.3049032986164093], 'acc': [0.8821172714233398], 'val_loss': [1.1905121803283691], 'val_acc': [0.6438037753105164]}
{'loss': [0.293664813041687], 'acc': [0.886792004108429], 'val_loss': [1.2472511529922485], 'val_acc': [0.5965892672538757]}
{'loss': [0.27785325050354004], 'acc': [0.8936107158660889], 'val_loss': [1.3427519798278809], 'val_acc': [0.5987169146537781]}
{'loss': [0.27729764580726624], 'acc': [0.8957851529121399], 'val_loss': [1.1550036668777466], 'val_acc': [0.6637370586395264]}
{'loss': [0.2559898793697357], 'acc': [0.9043694734573364], 'val_loss': [1.2631256580352783], 'val_acc': [0.6639944314956665]}
{'loss': [0.22443853318691254], 'acc': [0.9170988202095032], 'val_loss': [1.2449241876602173], 'val_acc': [0.64464271068573]}
{'loss': [0.23063649237155914], 'acc': [0.9153546690940857], 'val_loss': [1.2820888757705688], 'val_acc': [0.6331542134284973]}
{'loss': [0.21106214821338654], 'acc': [0.9228357672691345], 'val_loss': [1.654180645942688], 'val_acc': [0.5894695520401001]}
{'loss': [0.20195233821868896], 'acc': [0.9266823530197144], 'val_loss': [1.380014181137085], 'val_acc': [0.6467217803001404]}
{'loss': [0.18893343210220337], 'acc': [0.9318463802337646], 'val_loss': [1.4095293283462524], 'val_acc': [0.6235832571983337]}
{'loss': [0.1848534196615219], 'acc': [0.9340823292732239], 'val_loss': [1.415616512298584], 'val_acc': [0.6383718848228455]}
{'loss': [0.18061001598834991], 'acc': [0.9361402988433838], 'val_loss': [1.9943331480026245], 'val_acc': [0.5818029046058655]}
{'loss': [0.17417007684707642], 'acc': [0.9388574361801147], 'val_loss': [1.4962750673294067], 'val_acc': [0.6367849111557007]}
