{'loss': [0.7068701386451721], 'acc': [0.7023180723190308], 'val_loss': [0.805553138256073], 'val_acc': [0.6468319892883301]}
{'loss': [0.6322831511497498], 'acc': [0.7358365654945374], 'val_loss': [0.8919437527656555], 'val_acc': [0.6131574511528015]}
{'loss': [0.6042680144309998], 'acc': [0.7489593625068665], 'val_loss': [1.0505964756011963], 'val_acc': [0.5725303292274475]}
{'loss': [0.5759983658790588], 'acc': [0.761955976486206], 'val_loss': [1.0224226713180542], 'val_acc': [0.5935252904891968]}
{'loss': [0.5646677017211914], 'acc': [0.7679221034049988], 'val_loss': [0.9203809499740601], 'val_acc': [0.5872337818145752]}
{'loss': [0.5338782072067261], 'acc': [0.7822482585906982], 'val_loss': [1.090186595916748], 'val_acc': [0.5579140186309814]}
{'loss': [0.5238651633262634], 'acc': [0.7871578931808472], 'val_loss': [0.8983868360519409], 'val_acc': [0.6026709675788879]}
{'loss': [0.5053285956382751], 'acc': [0.7971310019493103], 'val_loss': [0.9624679684638977], 'val_acc': [0.5919516086578369]}
{'loss': [0.48709842562675476], 'acc': [0.804543673992157], 'val_loss': [0.9073720574378967], 'val_acc': [0.6239069104194641]}
{'loss': [0.4767983555793762], 'acc': [0.8098660707473755], 'val_loss': [0.8986614942550659], 'val_acc': [0.6478061676025391]}
{'loss': [0.46238160133361816], 'acc': [0.8178086280822754], 'val_loss': [0.9160061478614807], 'val_acc': [0.634925127029419]}
{'loss': [0.45092546939849854], 'acc': [0.8225377798080444], 'val_loss': [1.041742205619812], 'val_acc': [0.6311221122741699]}
{'loss': [0.44101253151893616], 'acc': [0.8279657363891602], 'val_loss': [1.0428117513656616], 'val_acc': [0.637923002243042]}
{'loss': [0.42366281151771545], 'acc': [0.8352984189987183], 'val_loss': [1.010030746459961], 'val_acc': [0.6413923501968384]}
{'loss': [0.4173022508621216], 'acc': [0.8387962579727173], 'val_loss': [0.9195091724395752], 'val_acc': [0.6555561423301697]}
{'loss': [0.44129854440689087], 'acc': [0.8282418251037598], 'val_loss': [1.0915522575378418], 'val_acc': [0.6106112003326416]}
{'loss': [0.3933003842830658], 'acc': [0.8495613932609558], 'val_loss': [1.725373387336731], 'val_acc': [0.5665961503982544]}
{'loss': [0.3937416076660156], 'acc': [0.8489965796470642], 'val_loss': [1.5637117624282837], 'val_acc': [0.5390477776527405]}
{'loss': [0.3965190351009369], 'acc': [0.8476388454437256], 'val_loss': [2.276606321334839], 'val_acc': [0.5473873019218445]}
{'loss': [0.37889471650123596], 'acc': [0.8551583290100098], 'val_loss': [1.2006680965423584], 'val_acc': [0.5703632831573486]}
