{'loss': [0.6745302677154541], 'acc': [0.7154845595359802], 'val_loss': [0.7675915956497192], 'val_acc': [0.6958460211753845]}
{'loss': [0.6217460036277771], 'acc': [0.7409425973892212], 'val_loss': [0.8086584210395813], 'val_acc': [0.6735250949859619]}
{'loss': [0.5967193841934204], 'acc': [0.7523064613342285], 'val_loss': [0.7402229309082031], 'val_acc': [0.6857097744941711]}
{'loss': [0.5645776987075806], 'acc': [0.7683160901069641], 'val_loss': [1.0551480054855347], 'val_acc': [0.6465922594070435]}
{'loss': [0.5482145547866821], 'acc': [0.7737293243408203], 'val_loss': [0.7478455901145935], 'val_acc': [0.6832641959190369]}
{'loss': [0.5357069373130798], 'acc': [0.7793859839439392], 'val_loss': [0.9088514447212219], 'val_acc': [0.5706949234008789]}
{'loss': [0.5124003291130066], 'acc': [0.7901239991188049], 'val_loss': [1.3940651416778564], 'val_acc': [0.6620912551879883]}
{'loss': [0.5004773139953613], 'acc': [0.796370804309845], 'val_loss': [0.9671598076820374], 'val_acc': [0.6808898448944092]}
{'loss': [0.4965969920158386], 'acc': [0.7975056171417236], 'val_loss': [0.8081398010253906], 'val_acc': [0.7048444151878357]}
{'loss': [0.4695079028606415], 'acc': [0.8107364177703857], 'val_loss': [0.922624945640564], 'val_acc': [0.6494687795639038]}
{'loss': [0.4625447690486908], 'acc': [0.812938392162323], 'val_loss': [1.4537183046340942], 'val_acc': [0.6682168841362]}
{'loss': [0.4474048912525177], 'acc': [0.8198790550231934], 'val_loss': [0.9835353493690491], 'val_acc': [0.660484790802002]}
{'loss': [0.45215651392936707], 'acc': [0.8179667592048645], 'val_loss': [1.9498028755187988], 'val_acc': [0.6656970977783203]}
{'loss': [0.4260507822036743], 'acc': [0.8292646408081055], 'val_loss': [4.221493721008301], 'val_acc': [0.6729373335838318]}
{'loss': [0.4277014136314392], 'acc': [0.8286714553833008], 'val_loss': [1.133082628250122], 'val_acc': [0.6624071002006531]}
{'loss': [0.4092836081981659], 'acc': [0.8369888067245483], 'val_loss': [0.8102120757102966], 'val_acc': [0.6939825415611267]}
{'loss': [0.4008781909942627], 'acc': [0.841797947883606], 'val_loss': [0.944108784198761], 'val_acc': [0.6532877087593079]}
{'loss': [0.399103045463562], 'acc': [0.8430898785591125], 'val_loss': [1.0993684530258179], 'val_acc': [0.6796572804450989]}
{'loss': [0.38670864701271057], 'acc': [0.8481867909431458], 'val_loss': [1.5060442686080933], 'val_acc': [0.6628533601760864]}
{'loss': [0.38023680448532104], 'acc': [0.8514987826347351], 'val_loss': [1.0121631622314453], 'val_acc': [0.6582967638969421]}
