{'loss': [1.2069981098175049], 'acc': [0.4790489673614502], 'val_loss': [1.6905888319015503], 'val_acc': [0.6066166162490845]}
{'loss': [0.9440518617630005], 'acc': [0.5855482220649719], 'val_loss': [1.1012773513793945], 'val_acc': [0.5035685300827026]}
{'loss': [0.8215455412864685], 'acc': [0.6412281394004822], 'val_loss': [0.9665331840515137], 'val_acc': [0.5754852890968323]}
{'loss': [0.7539466023445129], 'acc': [0.6745740175247192], 'val_loss': [0.779083251953125], 'val_acc': [0.6466410756111145]}
{'loss': [0.7125709652900696], 'acc': [0.693565309047699], 'val_loss': [0.7352507710456848], 'val_acc': [0.6887081861495972]}
{'loss': [0.664181649684906], 'acc': [0.7163098454475403], 'val_loss': [0.7689020037651062], 'val_acc': [0.6879625916481018]}
{'loss': [0.6361607909202576], 'acc': [0.730047345161438], 'val_loss': [0.7430124878883362], 'val_acc': [0.7153407335281372]}
{'loss': [0.5959867238998413], 'acc': [0.7483975291252136], 'val_loss': [0.7094328999519348], 'val_acc': [0.6818848848342896]}
{'loss': [0.5746989250183105], 'acc': [0.7583557367324829], 'val_loss': [1.2048327922821045], 'val_acc': [0.5252861976623535]}
{'loss': [0.5497857928276062], 'acc': [0.7707070708274841], 'val_loss': [10.43167495727539], 'val_acc': [0.6715489029884338]}
{'loss': [0.5404698848724365], 'acc': [0.7759791016578674], 'val_loss': [10.563720703125], 'val_acc': [0.6253693699836731]}
{'loss': [0.520857572555542], 'acc': [0.784979522228241], 'val_loss': [0.9671315550804138], 'val_acc': [0.6908152103424072]}
{'loss': [0.5157698392868042], 'acc': [0.7878353595733643], 'val_loss': [0.9781339764595032], 'val_acc': [0.6172952055931091]}
{'loss': [0.47453466057777405], 'acc': [0.8068888187408447], 'val_loss': [0.9524886608123779], 'val_acc': [0.7020123600959778]}
{'loss': [0.466198593378067], 'acc': [0.8115721940994263], 'val_loss': [1.1065300703048706], 'val_acc': [0.6283332705497742]}
{'loss': [0.4587237238883972], 'acc': [0.8147920966148376], 'val_loss': [1.436691164970398], 'val_acc': [0.6658580899238586]}
{'loss': [0.4591531455516815], 'acc': [0.8156548738479614], 'val_loss': [1.6853944063186646], 'val_acc': [0.657646894454956]}
{'loss': [0.4310941994190216], 'acc': [0.8273749947547913], 'val_loss': [1.362247109413147], 'val_acc': [0.6770812273025513]}
{'loss': [0.4225674867630005], 'acc': [0.8328935503959656], 'val_loss': [1.0376977920532227], 'val_acc': [0.5963504314422607]}
{'loss': [0.401309072971344], 'acc': [0.8413185477256775], 'val_loss': [0.9458240270614624], 'val_acc': [0.6943952441215515]}
