{'loss': [0.7020866870880127], 'acc': [0.7014943361282349], 'val_loss': [0.9772506952285767], 'val_acc': [0.5895674824714661]}
{'loss': [0.6685277819633484], 'acc': [0.7141756415367126], 'val_loss': [0.9188466668128967], 'val_acc': [0.5899205803871155]}
{'loss': [0.6421337723731995], 'acc': [0.725191056728363], 'val_loss': [0.9637253284454346], 'val_acc': [0.6115260124206543]}
{'loss': [0.6190561056137085], 'acc': [0.7374159097671509], 'val_loss': [1.2217597961425781], 'val_acc': [0.5602929592132568]}
{'loss': [0.6064866781234741], 'acc': [0.7420534491539001], 'val_loss': [0.8687373995780945], 'val_acc': [0.6251534819602966]}
{'loss': [0.6033167243003845], 'acc': [0.7458534836769104], 'val_loss': [0.8159252405166626], 'val_acc': [0.6276103258132935]}
{'loss': [0.6138666272163391], 'acc': [0.7432805299758911], 'val_loss': [0.7956136465072632], 'val_acc': [0.6399233341217041]}
{'loss': [0.559556245803833], 'acc': [0.7669551968574524], 'val_loss': [0.7939568161964417], 'val_acc': [0.6465906500816345]}
{'loss': [1.2907198667526245], 'acc': [0.42009082436561584], 'val_loss': [1.1854478120803833], 'val_acc': [0.45206981897354126]}
{'loss': [1.1619925498962402], 'acc': [0.4771820902824402], 'val_loss': [1.0261770486831665], 'val_acc': [0.5141624212265015]}
{'loss': [0.8756678104400635], 'acc': [0.6128991842269897], 'val_loss': [1.0052754878997803], 'val_acc': [0.5932084918022156]}
{'loss': [0.6454718708992004], 'acc': [0.7199152708053589], 'val_loss': [0.8543322682380676], 'val_acc': [0.6307258009910583]}
{'loss': [0.5826625823974609], 'acc': [0.7535978555679321], 'val_loss': [1.009694218635559], 'val_acc': [0.6030555367469788]}
{'loss': [0.563351571559906], 'acc': [0.7644481062889099], 'val_loss': [0.8845989108085632], 'val_acc': [0.6230641007423401]}
{'loss': [0.5520380139350891], 'acc': [0.7707099318504333], 'val_loss': [0.8614793419837952], 'val_acc': [0.631478488445282]}
{'loss': [0.5359594821929932], 'acc': [0.7766949534416199], 'val_loss': [0.7927881479263306], 'val_acc': [0.6500523686408997]}
{'loss': [0.5171694159507751], 'acc': [0.785980224609375], 'val_loss': [0.9621201157569885], 'val_acc': [0.6299936175346375]}
{'loss': [0.5072827339172363], 'acc': [0.7908586263656616], 'val_loss': [1.0010634660720825], 'val_acc': [0.6281170845031738]}
{'loss': [0.4924825131893158], 'acc': [0.7966611981391907], 'val_loss': [1.2179292440414429], 'val_acc': [0.5951542854309082]}
{'loss': [0.47860273718833923], 'acc': [0.8035532236099243], 'val_loss': [1.0123257637023926], 'val_acc': [0.6002935171127319]}
