{'loss': [1.4203259944915771], 'acc': [0.3137291967868805], 'val_loss': [1.3316682577133179], 'val_acc': [0.27480804920196533]}
{'loss': [1.2909703254699707], 'acc': [0.37140199542045593], 'val_loss': [1.1940547227859497], 'val_acc': [0.46690866351127625]}
{'loss': [1.1094321012496948], 'acc': [0.5170497894287109], 'val_loss': [1.0468857288360596], 'val_acc': [0.5255783200263977]}
{'loss': [1.0071876049041748], 'acc': [0.5607646107673645], 'val_loss': [0.9417083859443665], 'val_acc': [0.5677438378334045]}
{'loss': [0.9735546708106995], 'acc': [0.5769616365432739], 'val_loss': [1.011151909828186], 'val_acc': [0.5683687329292297]}
{'loss': [0.9126779437065125], 'acc': [0.6023706197738647], 'val_loss': [0.9689304828643799], 'val_acc': [0.5938146114349365]}
{'loss': [0.9028520584106445], 'acc': [0.6081005930900574], 'val_loss': [1.0875540971755981], 'val_acc': [0.5332858562469482]}
{'loss': [0.9099359512329102], 'acc': [0.6066954731941223], 'val_loss': [1.0652152299880981], 'val_acc': [0.5552128553390503]}
{'loss': [0.8533210754394531], 'acc': [0.6276065707206726], 'val_loss': [1.0713719129562378], 'val_acc': [0.5555932521820068]}
{'loss': [0.8337894678115845], 'acc': [0.6339756846427917], 'val_loss': [1.1954020261764526], 'val_acc': [0.523280918598175]}
{'loss': [0.8152055144309998], 'acc': [0.6413724422454834], 'val_loss': [0.9642057418823242], 'val_acc': [0.5929208993911743]}
{'loss': [0.7896767854690552], 'acc': [0.6503655910491943], 'val_loss': [0.8595266938209534], 'val_acc': [0.6168181896209717]}
{'loss': [0.7723397612571716], 'acc': [0.6584546566009521], 'val_loss': [0.9134984612464905], 'val_acc': [0.6126225590705872]}
{'loss': [0.7591312527656555], 'acc': [0.6629152297973633], 'val_loss': [0.968912661075592], 'val_acc': [0.5811629295349121]}
{'loss': [0.7415189146995544], 'acc': [0.6701459884643555], 'val_loss': [0.9471033811569214], 'val_acc': [0.5953010320663452]}
{'loss': [0.7298384308815002], 'acc': [0.6761540770530701], 'val_loss': [1.0189039707183838], 'val_acc': [0.5789143443107605]}
{'loss': [0.7136395573616028], 'acc': [0.6834320425987244], 'val_loss': [0.9936755299568176], 'val_acc': [0.5903826355934143]}
{'loss': [0.7100889682769775], 'acc': [0.6842254996299744], 'val_loss': [0.9446664452552795], 'val_acc': [0.5964792370796204]}
{'loss': [0.6911575198173523], 'acc': [0.6934105157852173], 'val_loss': [1.164178490638733], 'val_acc': [0.5554505586624146]}
{'loss': [0.6817771792411804], 'acc': [0.6978800296783447], 'val_loss': [0.8383036851882935], 'val_acc': [0.6270443797111511]}
{'loss': [0.6716088652610779], 'acc': [0.7020277380943298], 'val_loss': [1.0366151332855225], 'val_acc': [0.5894227623939514]}
{'loss': [0.6708835363388062], 'acc': [0.7026875615119934], 'val_loss': [0.9315951466560364], 'val_acc': [0.5971639752388]}
{'loss': [0.6602444052696228], 'acc': [0.7081016898155212], 'val_loss': [0.9157293438911438], 'val_acc': [0.6227414608001709]}
{'loss': [0.6426404118537903], 'acc': [0.7156282067298889], 'val_loss': [0.9844046831130981], 'val_acc': [0.6174623370170593]}
{'loss': [0.6354627013206482], 'acc': [0.7195837497711182], 'val_loss': [0.9894875884056091], 'val_acc': [0.5955600738525391]}
{'loss': [0.6311510801315308], 'acc': [0.7225503921508789], 'val_loss': [1.0930848121643066], 'val_acc': [0.6078859567642212]}
{'loss': [0.6214010119438171], 'acc': [0.7263402938842773], 'val_loss': [1.0068198442459106], 'val_acc': [0.5945829153060913]}
{'loss': [0.6146065592765808], 'acc': [0.7300180792808533], 'val_loss': [0.9106592535972595], 'val_acc': [0.614228367805481]}
{'loss': [0.6095074415206909], 'acc': [0.7320718765258789], 'val_loss': [0.8878772854804993], 'val_acc': [0.6290612816810608]}
