{'loss': [0.7061328291893005], 'acc': [0.692086398601532], 'val_loss': [0.8479921221733093], 'val_acc': [0.6400408148765564]}
{'loss': [0.643839955329895], 'acc': [0.7229843139648438], 'val_loss': [0.7945877909660339], 'val_acc': [0.638567328453064]}
{'loss': [0.6145698428153992], 'acc': [0.7373487949371338], 'val_loss': [1.0685938596725464], 'val_acc': [0.5974081158638]}
{'loss': [0.5781760215759277], 'acc': [0.7539541125297546], 'val_loss': [0.8959299921989441], 'val_acc': [0.6398401856422424]}
{'loss': [0.5727767944335938], 'acc': [0.7569441199302673], 'val_loss': [0.875815749168396], 'val_acc': [0.6337104439735413]}
{'loss': [0.586155116558075], 'acc': [0.7515286803245544], 'val_loss': [0.8844557404518127], 'val_acc': [0.6229982972145081]}
{'loss': [0.5294740796089172], 'acc': [0.7791586518287659], 'val_loss': [0.8801862597465515], 'val_acc': [0.6256139278411865]}
{'loss': [0.5166894793510437], 'acc': [0.7842307686805725], 'val_loss': [0.8721807599067688], 'val_acc': [0.5996255874633789]}
{'loss': [0.5096687078475952], 'acc': [0.7876167297363281], 'val_loss': [0.885525107383728], 'val_acc': [0.611153781414032]}
{'loss': [0.5057609677314758], 'acc': [0.7899159789085388], 'val_loss': [0.9905339479446411], 'val_acc': [0.5981637835502625]}
{'loss': [0.49830085039138794], 'acc': [0.7937486171722412], 'val_loss': [0.8522266149520874], 'val_acc': [0.6401939392089844]}
{'loss': [0.4756239354610443], 'acc': [0.8049030303955078], 'val_loss': [0.8932902216911316], 'val_acc': [0.6341651678085327]}
{'loss': [0.4662971794605255], 'acc': [0.8084160685539246], 'val_loss': [1.0343235731124878], 'val_acc': [0.6159037947654724]}
{'loss': [0.4557594060897827], 'acc': [0.8139821887016296], 'val_loss': [0.9162747263908386], 'val_acc': [0.6389333605766296]}
{'loss': [0.4619946777820587], 'acc': [0.8109815120697021], 'val_loss': [0.941601037979126], 'val_acc': [0.6146723031997681]}
{'loss': [0.44206175208091736], 'acc': [0.8204724788665771], 'val_loss': [0.8345149755477905], 'val_acc': [0.646652340888977]}
{'loss': [0.43672826886177063], 'acc': [0.8238846659660339], 'val_loss': [0.8753306269645691], 'val_acc': [0.6520474553108215]}
{'loss': [0.4342643618583679], 'acc': [0.8236440420150757], 'val_loss': [1.0209194421768188], 'val_acc': [0.5995508432388306]}
{'loss': [0.43203288316726685], 'acc': [0.8255088329315186], 'val_loss': [0.9049311280250549], 'val_acc': [0.622134268283844]}
{'loss': [0.41248640418052673], 'acc': [0.8341378569602966], 'val_loss': [1.0119757652282715], 'val_acc': [0.6402966380119324]}
