{'loss': [1.0415174961090088], 'acc': [0.5913219451904297], 'val_loss': [1.321855068206787], 'val_acc': [0.5807831883430481]}
{'loss': [0.8285093307495117], 'acc': [0.6622143983840942], 'val_loss': [0.8212568759918213], 'val_acc': [0.6420719027519226]}
{'loss': [0.7512059211730957], 'acc': [0.6915378570556641], 'val_loss': [0.9614241719245911], 'val_acc': [0.6281172037124634]}
{'loss': [0.6927766799926758], 'acc': [0.7156094908714294], 'val_loss': [0.8191375136375427], 'val_acc': [0.6529050469398499]}
{'loss': [0.644182562828064], 'acc': [0.7357641458511353], 'val_loss': [0.8648388385772705], 'val_acc': [0.5935854911804199]}
{'loss': [0.610587477684021], 'acc': [0.7509661316871643], 'val_loss': [1.0360409021377563], 'val_acc': [0.5639138221740723]}
{'loss': [0.5729034543037415], 'acc': [0.7683531045913696], 'val_loss': [0.9729293584823608], 'val_acc': [0.555875301361084]}
{'loss': [0.5573592185974121], 'acc': [0.7754427790641785], 'val_loss': [1.0824308395385742], 'val_acc': [0.5418749451637268]}
{'loss': [0.525029718875885], 'acc': [0.7893127202987671], 'val_loss': [0.9719716310501099], 'val_acc': [0.6235918402671814]}
{'loss': [0.5094171762466431], 'acc': [0.7971892952919006], 'val_loss': [0.8291510939598083], 'val_acc': [0.6538723111152649]}
{'loss': [0.4860946536064148], 'acc': [0.8061982989311218], 'val_loss': [0.9966030716896057], 'val_acc': [0.6152675747871399]}
{'loss': [0.46748319268226624], 'acc': [0.8142491579055786], 'val_loss': [1.0067343711853027], 'val_acc': [0.5595818758010864]}
{'loss': [0.45875284075737], 'acc': [0.8185770511627197], 'val_loss': [1.018554925918579], 'val_acc': [0.5467315912246704]}
{'loss': [0.43889734148979187], 'acc': [0.8260439038276672], 'val_loss': [2.0452980995178223], 'val_acc': [0.5269520878791809]}
{'loss': [0.42352524399757385], 'acc': [0.8332256078720093], 'val_loss': [1.1586191654205322], 'val_acc': [0.5315924286842346]}
{'loss': [0.4144541025161743], 'acc': [0.8364898562431335], 'val_loss': [0.9656962156295776], 'val_acc': [0.6063812375068665]}
{'loss': [0.4038335084915161], 'acc': [0.8412413001060486], 'val_loss': [1.103144884109497], 'val_acc': [0.600134015083313]}
{'loss': [0.3950565457344055], 'acc': [0.8444816470146179], 'val_loss': [1.006561517715454], 'val_acc': [0.6031932234764099]}
{'loss': [0.3777664005756378], 'acc': [0.8512772917747498], 'val_loss': [1.1673743724822998], 'val_acc': [0.5855052471160889]}
{'loss': [0.3784646689891815], 'acc': [0.8515458106994629], 'val_loss': [1.3782633543014526], 'val_acc': [0.5936919450759888]}
