{'loss': [0.9624130725860596], 'acc': [0.6004200577735901], 'val_loss': [0.931291401386261], 'val_acc': [0.5865025520324707]}
{'loss': [0.7959619760513306], 'acc': [0.6646789908409119], 'val_loss': [0.9920969605445862], 'val_acc': [0.5508164763450623]}
{'loss': [0.7264375686645508], 'acc': [0.6957684755325317], 'val_loss': [0.9199850559234619], 'val_acc': [0.5857237577438354]}
{'loss': [0.677497386932373], 'acc': [0.7184447050094604], 'val_loss': [0.9255380034446716], 'val_acc': [0.5795142650604248]}
{'loss': [0.6446583867073059], 'acc': [0.7320402264595032], 'val_loss': [0.9695308208465576], 'val_acc': [0.5835701823234558]}
{'loss': [0.5862278342247009], 'acc': [0.7583364248275757], 'val_loss': [0.9108657836914062], 'val_acc': [0.5742893815040588]}
{'loss': [0.5769844055175781], 'acc': [0.7635077834129333], 'val_loss': [0.8634070754051208], 'val_acc': [0.6035414934158325]}
{'loss': [0.5428283214569092], 'acc': [0.7763934135437012], 'val_loss': [0.9303178191184998], 'val_acc': [0.5852161645889282]}
{'loss': [0.5252169370651245], 'acc': [0.785010576248169], 'val_loss': [0.9621727466583252], 'val_acc': [0.5855031609535217]}
{'loss': [0.5297279357910156], 'acc': [0.7847310900688171], 'val_loss': [0.9762925505638123], 'val_acc': [0.5836478471755981]}
{'loss': [0.4882730543613434], 'acc': [0.8009807467460632], 'val_loss': [1.0147531032562256], 'val_acc': [0.5566925406455994]}
{'loss': [0.4732249975204468], 'acc': [0.8081252574920654], 'val_loss': [0.9538149237632751], 'val_acc': [0.6041784882545471]}
{'loss': [0.47058963775634766], 'acc': [0.809649646282196], 'val_loss': [1.0578776597976685], 'val_acc': [0.5786282420158386]}
{'loss': [0.43810585141181946], 'acc': [0.8238275051116943], 'val_loss': [0.9140908718109131], 'val_acc': [0.6265184879302979]}
{'loss': [0.44141367077827454], 'acc': [0.8221395611763], 'val_loss': [1.0694613456726074], 'val_acc': [0.5565186142921448]}
{'loss': [0.42848172783851624], 'acc': [0.8289309740066528], 'val_loss': [1.0471760034561157], 'val_acc': [0.5605650544166565]}
{'loss': [0.40271514654159546], 'acc': [0.8398407101631165], 'val_loss': [1.0113972425460815], 'val_acc': [0.5937529802322388]}
{'loss': [0.40687382221221924], 'acc': [0.8386257886886597], 'val_loss': [1.0215367078781128], 'val_acc': [0.5973488092422485]}
{'loss': [0.3859316408634186], 'acc': [0.8481030464172363], 'val_loss': [1.017358422279358], 'val_acc': [0.5849992036819458]}
{'loss': [0.42472636699676514], 'acc': [0.8316143155097961], 'val_loss': [0.9989887475967407], 'val_acc': [0.5798237323760986]}
