{'loss': [1.3405191898345947], 'acc': [0.353536993265152], 'val_loss': [1.1874573230743408], 'val_acc': [0.48499834537506104]}
{'loss': [1.2161879539489746], 'acc': [0.47340041399002075], 'val_loss': [1.1041313409805298], 'val_acc': [0.512898325920105]}
{'loss': [1.1746913194656372], 'acc': [0.499428391456604], 'val_loss': [1.0917308330535889], 'val_acc': [0.5208636522293091]}
{'loss': [1.1012715101242065], 'acc': [0.5223841071128845], 'val_loss': [1.1419787406921387], 'val_acc': [0.5149418115615845]}
{'loss': [1.0348553657531738], 'acc': [0.5467889308929443], 'val_loss': [1.0247433185577393], 'val_acc': [0.5208595991134644]}
{'loss': [0.9852616190910339], 'acc': [0.5654298663139343], 'val_loss': [1.0297961235046387], 'val_acc': [0.5288419127464294]}
{'loss': [0.9513235688209534], 'acc': [0.5826417803764343], 'val_loss': [1.0075562000274658], 'val_acc': [0.5511264801025391]}
{'loss': [0.9300048351287842], 'acc': [0.5898907780647278], 'val_loss': [1.1524465084075928], 'val_acc': [0.47537142038345337]}
{'loss': [0.9071258902549744], 'acc': [0.600127100944519], 'val_loss': [1.1448063850402832], 'val_acc': [0.501717746257782]}
{'loss': [0.8826131820678711], 'acc': [0.6105653047561646], 'val_loss': [0.968087375164032], 'val_acc': [0.5841466784477234]}
{'loss': [0.8570795655250549], 'acc': [0.6205435991287231], 'val_loss': [1.030218243598938], 'val_acc': [0.5481992363929749]}
{'loss': [0.8337047696113586], 'acc': [0.6318324208259583], 'val_loss': [1.1352710723876953], 'val_acc': [0.515160322189331]}
{'loss': [0.8188950419425964], 'acc': [0.6371130347251892], 'val_loss': [1.0517407655715942], 'val_acc': [0.5432490110397339]}
{'loss': [0.8028397560119629], 'acc': [0.6444011926651001], 'val_loss': [1.2463865280151367], 'val_acc': [0.5058948397636414]}
{'loss': [0.7819027900695801], 'acc': [0.6536328792572021], 'val_loss': [1.16306471824646], 'val_acc': [0.501688539981842]}
{'loss': [0.7712895274162292], 'acc': [0.6584006547927856], 'val_loss': [0.9463762640953064], 'val_acc': [0.5949042439460754]}
{'loss': [0.7539024949073792], 'acc': [0.6646522879600525], 'val_loss': [0.9737207293510437], 'val_acc': [0.5699838995933533]}
{'loss': [0.739312469959259], 'acc': [0.6729862689971924], 'val_loss': [1.0518062114715576], 'val_acc': [0.5596002340316772]}
{'loss': [0.73638916015625], 'acc': [0.6727080941200256], 'val_loss': [0.9408153295516968], 'val_acc': [0.6080979108810425]}
{'loss': [0.7192882895469666], 'acc': [0.6823667287826538], 'val_loss': [0.9293977618217468], 'val_acc': [0.6164690852165222]}
