{'loss': [1.3424776792526245], 'acc': [0.3668033182621002], 'val_loss': [1.179743766784668], 'val_acc': [0.4712805151939392]}
{'loss': [1.178851842880249], 'acc': [0.48771852254867554], 'val_loss': [1.0346664190292358], 'val_acc': [0.5684512257575989]}
{'loss': [1.1091961860656738], 'acc': [0.5245072245597839], 'val_loss': [1.1289931535720825], 'val_acc': [0.5245678424835205]}
{'loss': [1.0546858310699463], 'acc': [0.5451769828796387], 'val_loss': [0.9885771870613098], 'val_acc': [0.583879828453064]}
{'loss': [0.9918651580810547], 'acc': [0.5734434723854065], 'val_loss': [0.9543834328651428], 'val_acc': [0.5931481719017029]}
{'loss': [0.9459345936775208], 'acc': [0.5892226099967957], 'val_loss': [0.9343528151512146], 'val_acc': [0.5872303247451782]}
{'loss': [0.9170898795127869], 'acc': [0.59971684217453], 'val_loss': [1.0026378631591797], 'val_acc': [0.552639365196228]}
{'loss': [0.8874637484550476], 'acc': [0.6120057702064514], 'val_loss': [1.0164750814437866], 'val_acc': [0.5565774440765381]}
{'loss': [0.8622654676437378], 'acc': [0.6213736534118652], 'val_loss': [0.9185777902603149], 'val_acc': [0.6015477776527405]}
{'loss': [0.842825174331665], 'acc': [0.6298490762710571], 'val_loss': [1.0200186967849731], 'val_acc': [0.5488448143005371]}
{'loss': [0.8203043937683105], 'acc': [0.6401059031486511], 'val_loss': [0.9418753981590271], 'val_acc': [0.5717997550964355]}
{'loss': [0.8054993748664856], 'acc': [0.6467525959014893], 'val_loss': [0.9974368214607239], 'val_acc': [0.5743289589881897]}
{'loss': [0.7890519499778748], 'acc': [0.6553614735603333], 'val_loss': [0.9242932200431824], 'val_acc': [0.590653121471405]}
{'loss': [0.7728545069694519], 'acc': [0.660232424736023], 'val_loss': [0.915709912776947], 'val_acc': [0.578374445438385]}
{'loss': [0.7550354599952698], 'acc': [0.6700647473335266], 'val_loss': [0.9215943217277527], 'val_acc': [0.5755732655525208]}
{'loss': [0.7440362572669983], 'acc': [0.6752203702926636], 'val_loss': [0.9928924441337585], 'val_acc': [0.5430164337158203]}
{'loss': [0.7305677533149719], 'acc': [0.6808743476867676], 'val_loss': [0.9902973175048828], 'val_acc': [0.5823562741279602]}
{'loss': [0.7132225632667542], 'acc': [0.6896201372146606], 'val_loss': [0.9213575124740601], 'val_acc': [0.593619167804718]}
{'loss': [0.7055714130401611], 'acc': [0.692287027835846], 'val_loss': [1.0183112621307373], 'val_acc': [0.5765559673309326]}
{'loss': [0.7019156813621521], 'acc': [0.6950881481170654], 'val_loss': [0.9828128814697266], 'val_acc': [0.5707204341888428]}
{'loss': [0.6857114434242249], 'acc': [0.7017107605934143], 'val_loss': [0.9416372776031494], 'val_acc': [0.5688524842262268]}
{'loss': [0.6798158288002014], 'acc': [0.7038041353225708], 'val_loss': [1.0606651306152344], 'val_acc': [0.5372103452682495]}
