{'loss': [1.5846691131591797], 'acc': [0.32496482133865356], 'val_loss': [1.3598772287368774], 'val_acc': [0.27526411414146423]}
{'loss': [1.3348462581634521], 'acc': [0.33229461312294006], 'val_loss': [1.3542171716690063], 'val_acc': [0.2790323495864868]}
{'loss': [1.3242548704147339], 'acc': [0.3495332598686218], 'val_loss': [1.3464553356170654], 'val_acc': [0.29427096247673035]}
{'loss': [1.3202084302902222], 'acc': [0.3562692701816559], 'val_loss': [1.3129231929779053], 'val_acc': [0.3401638865470886]}
{'loss': [1.2617117166519165], 'acc': [0.41602805256843567], 'val_loss': [1.0878400802612305], 'val_acc': [0.5023096203804016]}
{'loss': [1.1047263145446777], 'acc': [0.5170722007751465], 'val_loss': [1.0800700187683105], 'val_acc': [0.5102720856666565]}
{'loss': [1.0023584365844727], 'acc': [0.5676199197769165], 'val_loss': [1.082248568534851], 'val_acc': [0.5531665086746216]}
{'loss': [0.9423109889030457], 'acc': [0.5946167707443237], 'val_loss': [1.0357095003128052], 'val_acc': [0.5596405863761902]}
{'loss': [0.924389123916626], 'acc': [0.6013481020927429], 'val_loss': [1.0850424766540527], 'val_acc': [0.5645706057548523]}
{'loss': [0.8707981109619141], 'acc': [0.622289776802063], 'val_loss': [1.164297342300415], 'val_acc': [0.530495285987854]}
{'loss': [0.8361931443214417], 'acc': [0.6344864368438721], 'val_loss': [0.9720889329910278], 'val_acc': [0.5990385413169861]}
{'loss': [0.8108245730400085], 'acc': [0.6431630253791809], 'val_loss': [1.025334119796753], 'val_acc': [0.5746085047721863]}
{'loss': [0.7966606616973877], 'acc': [0.6483087539672852], 'val_loss': [1.043518304824829], 'val_acc': [0.5734906792640686]}
{'loss': [0.777037501335144], 'acc': [0.6558796763420105], 'val_loss': [1.3259823322296143], 'val_acc': [0.5303099155426025]}
{'loss': [0.7591044902801514], 'acc': [0.6633126139640808], 'val_loss': [1.596462368965149], 'val_acc': [0.4978509545326233]}
{'loss': [0.7518531680107117], 'acc': [0.6669686436653137], 'val_loss': [1.648371934890747], 'val_acc': [0.5474311709403992]}
{'loss': [0.7381680607795715], 'acc': [0.6725302934646606], 'val_loss': [1.2682353258132935], 'val_acc': [0.5708024501800537]}
{'loss': [0.7179616689682007], 'acc': [0.6823517680168152], 'val_loss': [1.3686165809631348], 'val_acc': [0.5376849174499512]}
{'loss': [0.7115713357925415], 'acc': [0.6847369074821472], 'val_loss': [1.170849084854126], 'val_acc': [0.5692726969718933]}
{'loss': [0.6988791823387146], 'acc': [0.6897092461585999], 'val_loss': [0.9740116596221924], 'val_acc': [0.6068865060806274]}
{'loss': [0.684757649898529], 'acc': [0.6954236030578613], 'val_loss': [1.0366334915161133], 'val_acc': [0.5812581777572632]}
{'loss': [0.6779000759124756], 'acc': [0.7006458044052124], 'val_loss': [1.1523922681808472], 'val_acc': [0.5688197016716003]}
{'loss': [0.6658004522323608], 'acc': [0.7055463194847107], 'val_loss': [1.2922139167785645], 'val_acc': [0.5509274005889893]}
