{'loss': [1.6272109746932983], 'acc': [0.3677123785018921], 'val_loss': [1.2409080266952515], 'val_acc': [0.4616307318210602]}
{'loss': [1.198168158531189], 'acc': [0.4763984978199005], 'val_loss': [1.1182761192321777], 'val_acc': [0.5095902681350708]}
{'loss': [1.0978485345840454], 'acc': [0.5211085677146912], 'val_loss': [1.028319239616394], 'val_acc': [0.5426477193832397]}
{'loss': [1.008642315864563], 'acc': [0.5598642230033875], 'val_loss': [0.9720919728279114], 'val_acc': [0.5613526701927185]}
{'loss': [0.948176383972168], 'acc': [0.5845096111297607], 'val_loss': [0.9441849589347839], 'val_acc': [0.5749868154525757]}
{'loss': [0.9058260917663574], 'acc': [0.6015616059303284], 'val_loss': [1.016668438911438], 'val_acc': [0.5430379509925842]}
{'loss': [0.8642021417617798], 'acc': [0.6158381700515747], 'val_loss': [1.0816121101379395], 'val_acc': [0.5337458848953247]}
{'loss': [0.8200759887695312], 'acc': [0.6316124796867371], 'val_loss': [0.9665423631668091], 'val_acc': [0.5764694809913635]}
{'loss': [0.7898415327072144], 'acc': [0.6458380818367004], 'val_loss': [1.0320714712142944], 'val_acc': [0.566016435623169]}
{'loss': [0.7600704431533813], 'acc': [0.6567069292068481], 'val_loss': [1.0170373916625977], 'val_acc': [0.5607544779777527]}
{'loss': [0.7346854209899902], 'acc': [0.6684533357620239], 'val_loss': [1.0089950561523438], 'val_acc': [0.5557184815406799]}
{'loss': [0.7117025852203369], 'acc': [0.6802988648414612], 'val_loss': [0.9172101616859436], 'val_acc': [0.6051710247993469]}
{'loss': [0.6934067010879517], 'acc': [0.6895200610160828], 'val_loss': [1.1558725833892822], 'val_acc': [0.5420045852661133]}
{'loss': [0.6784360408782959], 'acc': [0.6949565410614014], 'val_loss': [1.0177180767059326], 'val_acc': [0.582507848739624]}
{'loss': [0.6574817895889282], 'acc': [0.7049670815467834], 'val_loss': [1.1586730480194092], 'val_acc': [0.5507332682609558]}
{'loss': [0.6469252705574036], 'acc': [0.71127849817276], 'val_loss': [1.1216692924499512], 'val_acc': [0.5772978663444519]}
{'loss': [0.6304501295089722], 'acc': [0.7188075184822083], 'val_loss': [1.3436245918273926], 'val_acc': [0.5622968673706055]}
{'loss': [0.6210726499557495], 'acc': [0.7245895862579346], 'val_loss': [1.1116859912872314], 'val_acc': [0.5787599086761475]}
{'loss': [0.6107184886932373], 'acc': [0.7290544509887695], 'val_loss': [1.277442455291748], 'val_acc': [0.5467708706855774]}
{'loss': [0.5983517169952393], 'acc': [0.7344314455986023], 'val_loss': [1.4867947101593018], 'val_acc': [0.5328760743141174]}
{'loss': [0.585888147354126], 'acc': [0.7408187389373779], 'val_loss': [1.149725079536438], 'val_acc': [0.6046702861785889]}
{'loss': [0.585157036781311], 'acc': [0.7425246834754944], 'val_loss': [1.0740543603897095], 'val_acc': [0.6155835390090942]}
{'loss': [0.5733135938644409], 'acc': [0.7471299767494202], 'val_loss': [1.151649832725525], 'val_acc': [0.5901092886924744]}
{'loss': [0.5567951798439026], 'acc': [0.7557424306869507], 'val_loss': [1.1077289581298828], 'val_acc': [0.6101301908493042]}
