{'loss': [0.6467218399047852], 'acc': [0.6054421663284302], 'val_loss': [0.560116708278656], 'val_acc': [0.81208735704422]}
{'loss': [0.34746214747428894], 'acc': [0.848635733127594], 'val_loss': [0.7470319867134094], 'val_acc': [0.6583350896835327]}
{'loss': [0.21780093014240265], 'acc': [0.9040676951408386], 'val_loss': [1.010912537574768], 'val_acc': [0.4845198094844818]}
{'loss': [0.16910602152347565], 'acc': [0.9224627017974854], 'val_loss': [1.1741760969161987], 'val_acc': [0.41911372542381287]}
{'loss': [0.14159220457077026], 'acc': [0.9324743151664734], 'val_loss': [1.1026300191879272], 'val_acc': [0.5698328614234924]}
{'loss': [0.1258101910352707], 'acc': [0.938179075717926], 'val_loss': [1.1375219821929932], 'val_acc': [0.6089041233062744]}
{'loss': [0.115375816822052], 'acc': [0.9419195652008057], 'val_loss': [1.2310692071914673], 'val_acc': [0.6419928073883057]}
{'loss': [0.10432375222444534], 'acc': [0.9459944367408752], 'val_loss': [0.9885721802711487], 'val_acc': [0.7640746235847473]}
{'loss': [0.09893088787794113], 'acc': [0.9479398131370544], 'val_loss': [1.3816215991973877], 'val_acc': [0.5761406421661377]}
{'loss': [0.09341228753328323], 'acc': [0.9502305388450623], 'val_loss': [1.6210544109344482], 'val_acc': [0.5883859395980835]}
{'loss': [0.08889114856719971], 'acc': [0.9520105719566345], 'val_loss': [1.5453593730926514], 'val_acc': [0.6285901665687561]}
{'loss': [0.08483018726110458], 'acc': [0.9537429213523865], 'val_loss': [1.5327948331832886], 'val_acc': [0.6203680634498596]}
{'loss': [0.08135876059532166], 'acc': [0.9551274180412292], 'val_loss': [1.1884697675704956], 'val_acc': [0.6985104084014893]}
{'loss': [0.07890797406435013], 'acc': [0.9559932351112366], 'val_loss': [1.0170637369155884], 'val_acc': [0.7408133745193481]}
{'loss': [0.07663094997406006], 'acc': [0.9569811224937439], 'val_loss': [1.451208472251892], 'val_acc': [0.6568755507469177]}
{'loss': [0.0745043233036995], 'acc': [0.9576905369758606], 'val_loss': [1.4586669206619263], 'val_acc': [0.685717761516571]}
{'loss': [0.07249623537063599], 'acc': [0.9584381580352783], 'val_loss': [1.9936963319778442], 'val_acc': [0.6275764107704163]}
{'loss': [0.07060104608535767], 'acc': [0.959071934223175], 'val_loss': [1.5006502866744995], 'val_acc': [0.6683307886123657]}
{'loss': [0.07043469697237015], 'acc': [0.9592189788818359], 'val_loss': [1.8983227014541626], 'val_acc': [0.6397227644920349]}
