{'loss': [0.6288872361183167], 'acc': [0.790229856967926], 'val_loss': [0.7328651547431946], 'val_acc': [0.7122863531112671]}
{'loss': [0.4738488793373108], 'acc': [0.8392900228500366], 'val_loss': [0.819457471370697], 'val_acc': [0.6589751243591309]}
{'loss': [0.41631633043289185], 'acc': [0.8509752750396729], 'val_loss': [0.6627636551856995], 'val_acc': [0.7422664165496826]}
{'loss': [0.41572105884552], 'acc': [0.8403127193450928], 'val_loss': [0.9314261078834534], 'val_acc': [0.6668593883514404]}
{'loss': [0.3505708575248718], 'acc': [0.8594338297843933], 'val_loss': [0.8056808710098267], 'val_acc': [0.7233350872993469]}
{'loss': [0.31653425097465515], 'acc': [0.8766633868217468], 'val_loss': [1.0103888511657715], 'val_acc': [0.6836484670639038]}
{'loss': [0.29288411140441895], 'acc': [0.8875288963317871], 'val_loss': [1.1312566995620728], 'val_acc': [0.6668755412101746]}
{'loss': [0.27574098110198975], 'acc': [0.8952933549880981], 'val_loss': [1.0129271745681763], 'val_acc': [0.7200636863708496]}
{'loss': [0.2578554153442383], 'acc': [0.903986394405365], 'val_loss': [0.8919606804847717], 'val_acc': [0.7496572732925415]}
{'loss': [0.2526431977748871], 'acc': [0.9074060916900635], 'val_loss': [1.1135731935501099], 'val_acc': [0.7091109156608582]}
{'loss': [0.2319454401731491], 'acc': [0.9172060489654541], 'val_loss': [1.2647556066513062], 'val_acc': [0.704346776008606]}
{'loss': [0.21929508447647095], 'acc': [0.9231184720993042], 'val_loss': [1.1437383890151978], 'val_acc': [0.7345923185348511]}
{'loss': [0.21026456356048584], 'acc': [0.9268550872802734], 'val_loss': [1.4307773113250732], 'val_acc': [0.6581600308418274]}
{'loss': [0.20663754642009735], 'acc': [0.9286983609199524], 'val_loss': [1.2086803913116455], 'val_acc': [0.7304526567459106]}
{'loss': [0.18972861766815186], 'acc': [0.934643030166626], 'val_loss': [1.3347790241241455], 'val_acc': [0.713897705078125]}
{'loss': [0.17829333245754242], 'acc': [0.9390004873275757], 'val_loss': [1.1868809461593628], 'val_acc': [0.7317177057266235]}
{'loss': [0.17271889746189117], 'acc': [0.9409152269363403], 'val_loss': [1.4607493877410889], 'val_acc': [0.7033990621566772]}
