{'loss': [1.060215950012207], 'acc': [0.5310800075531006], 'val_loss': [1.4934808015823364], 'val_acc': [0.36483246088027954]}
{'loss': [0.9589093327522278], 'acc': [0.5734642744064331], 'val_loss': [1.3460277318954468], 'val_acc': [0.3785378932952881]}
{'loss': [0.9208404421806335], 'acc': [0.5894293189048767], 'val_loss': [1.1372437477111816], 'val_acc': [0.47396668791770935]}
{'loss': [10.133369445800781], 'acc': [0.4575289189815521], 'val_loss': [48.91258239746094], 'val_acc': [0.2891053855419159]}
{'loss': [801.013916015625], 'acc': [0.29132741689682007], 'val_loss': [2171.40283203125], 'val_acc': [0.3057267665863037]}
{'loss': [6114.2685546875], 'acc': [0.278944194316864], 'val_loss': [11229.0673828125], 'val_acc': [0.30017730593681335]}
{'loss': [25168.0703125], 'acc': [0.2817355692386627], 'val_loss': [13533.955078125], 'val_acc': [0.3029736280441284]}
{'loss': [84412.8046875], 'acc': [0.27704256772994995], 'val_loss': [15386.9541015625], 'val_acc': [0.26234376430511475]}
{'loss': [205811.953125], 'acc': [0.2763243019580841], 'val_loss': [101201.421875], 'val_acc': [0.2932632565498352]}
{'loss': [486802.6875], 'acc': [0.2719133496284485], 'val_loss': [214876.6875], 'val_acc': [0.2736964523792267]}
{'loss': [983374.9375], 'acc': [0.27402758598327637], 'val_loss': [296747.59375], 'val_acc': [0.30199676752090454]}
{'loss': [1917013.25], 'acc': [0.2752739489078522], 'val_loss': [1403030.5], 'val_acc': [0.28483352065086365]}
{'loss': [3434134.25], 'acc': [0.26937800645828247], 'val_loss': [2716960.0], 'val_acc': [0.30072739720344543]}
{'loss': [5599415.5], 'acc': [0.2723587453365326], 'val_loss': [3759708.5], 'val_acc': [0.3059457540512085]}
{'loss': [8837893.0], 'acc': [0.27041077613830566], 'val_loss': [21370256.0], 'val_acc': [0.2754969894886017]}
{'loss': [14378015.0], 'acc': [0.2630626857280731], 'val_loss': [5024031.5], 'val_acc': [0.29266875982284546]}
{'loss': [22921522.0], 'acc': [0.2673355042934418], 'val_loss': [28286946.0], 'val_acc': [0.11761199682950974]}
{'loss': [31974060.0], 'acc': [0.2710866630077362], 'val_loss': [54145188.0], 'val_acc': [0.2737109363079071]}
{'loss': [44103292.0], 'acc': [0.26457837224006653], 'val_loss': [105544456.0], 'val_acc': [0.3007659912109375]}
{'loss': [62029500.0], 'acc': [0.2669048309326172], 'val_loss': [57857628.0], 'val_acc': [0.3006221055984497]}
{'loss': [83723856.0], 'acc': [0.26867812871932983], 'val_loss': [97149400.0], 'val_acc': [0.2754572927951813]}
{'loss': [112015672.0], 'acc': [0.2681032121181488], 'val_loss': [169127184.0], 'val_acc': [0.28936415910720825]}
{'loss': [153881440.0], 'acc': [0.2615046799182892], 'val_loss': [196616288.0], 'val_acc': [0.27545273303985596]}
{'loss': [198714384.0], 'acc': [0.27084624767303467], 'val_loss': [827893696.0], 'val_acc': [0.2754545509815216]}
{'loss': [260098720.0], 'acc': [0.2662566006183624], 'val_loss': [251433632.0], 'val_acc': [0.30081358551979065]}
