{'loss': [0.4778376817703247], 'acc': [0.8072035312652588], 'val_loss': [0.44697248935699463], 'val_acc': [0.8269995450973511]}
{'loss': [0.4439782500267029], 'acc': [0.8260143399238586], 'val_loss': [0.5101824402809143], 'val_acc': [0.8150560855865479]}
{'loss': [0.4245523512363434], 'acc': [0.8344035744667053], 'val_loss': [0.43676698207855225], 'val_acc': [0.8648891448974609]}
{'loss': [0.42058834433555603], 'acc': [0.835599422454834], 'val_loss': [0.4609919488430023], 'val_acc': [0.8376237154006958]}
{'loss': [0.4152493476867676], 'acc': [0.8370664119720459], 'val_loss': [0.44966912269592285], 'val_acc': [0.8759183883666992]}
{'loss': [0.4056723713874817], 'acc': [0.8421142101287842], 'val_loss': [0.6362720727920532], 'val_acc': [0.6917225122451782]}
{'loss': [0.4040386974811554], 'acc': [0.8398841619491577], 'val_loss': [0.4573870003223419], 'val_acc': [0.8089920282363892]}
{'loss': [0.40459874272346497], 'acc': [0.843995988368988], 'val_loss': [0.49294647574424744], 'val_acc': [0.7826998829841614]}
{'loss': [0.3958977162837982], 'acc': [0.8462728261947632], 'val_loss': [0.5642586350440979], 'val_acc': [0.667036235332489]}
{'loss': [0.40684249997138977], 'acc': [0.8465892672538757], 'val_loss': [0.8395715355873108], 'val_acc': [0.6563971638679504]}
{'loss': [0.4038832187652588], 'acc': [0.8415855169296265], 'val_loss': [0.5567806959152222], 'val_acc': [0.689923107624054]}
{'loss': [0.4132644534111023], 'acc': [0.8451283574104309], 'val_loss': [0.48317253589630127], 'val_acc': [0.8208097219467163]}
{'loss': [0.3985685110092163], 'acc': [0.8468499183654785], 'val_loss': [0.4456968605518341], 'val_acc': [0.8223136067390442]}
{'loss': [0.40953636169433594], 'acc': [0.8428377509117126], 'val_loss': [0.858218252658844], 'val_acc': [0.5912688374519348]}
{'loss': [0.39921432733535767], 'acc': [0.8470789194107056], 'val_loss': [0.9171444773674011], 'val_acc': [0.5814040899276733]}
{'loss': [0.41431769728660583], 'acc': [0.8435741662979126], 'val_loss': [0.5308032035827637], 'val_acc': [0.6923954486846924]}
{'loss': [0.39657971262931824], 'acc': [0.8479058146476746], 'val_loss': [0.7113014459609985], 'val_acc': [0.584873378276825]}
{'loss': [0.3874360918998718], 'acc': [0.8478404879570007], 'val_loss': [0.673312246799469], 'val_acc': [0.5841983556747437]}
{'loss': [0.39307907223701477], 'acc': [0.8477630615234375], 'val_loss': [0.5852155089378357], 'val_acc': [0.6451888084411621]}
{'loss': [0.3930419981479645], 'acc': [0.8494328260421753], 'val_loss': [0.6131117343902588], 'val_acc': [0.6086400747299194]}
{'loss': [0.4045209288597107], 'acc': [0.845965564250946], 'val_loss': [0.5864510536193848], 'val_acc': [0.6452061533927917]}
