{'loss': [0.31058818101882935], 'acc': [0.8896974325180054], 'val_loss': [0.27678942680358887], 'val_acc': [0.9134169816970825]}
{'loss': [0.3025050759315491], 'acc': [0.8983516693115234], 'val_loss': [0.42262011766433716], 'val_acc': [0.8962802290916443]}
{'loss': [0.3083285987377167], 'acc': [0.8918687701225281], 'val_loss': [0.3173374831676483], 'val_acc': [0.9081797003746033]}
{'loss': [0.4056774079799652], 'acc': [0.8763654828071594], 'val_loss': [0.3433009684085846], 'val_acc': [0.9013800621032715]}
{'loss': [0.3274998664855957], 'acc': [0.8896454572677612], 'val_loss': [0.2647554278373718], 'val_acc': [0.9130172729492188]}
{'loss': [0.2902696430683136], 'acc': [0.8993620872497559], 'val_loss': [0.32257211208343506], 'val_acc': [0.9010924696922302]}
{'loss': [0.32648494839668274], 'acc': [0.8914430141448975], 'val_loss': [0.2701282799243927], 'val_acc': [0.9144414067268372]}
{'loss': [0.31380540132522583], 'acc': [0.9005374312400818], 'val_loss': [0.2851341962814331], 'val_acc': [0.913303017616272]}
{'loss': [0.2798346281051636], 'acc': [0.9035545587539673], 'val_loss': [0.2604335844516754], 'val_acc': [0.9149229526519775]}
{'loss': [0.2878566384315491], 'acc': [0.9065245389938354], 'val_loss': [0.28644493222236633], 'val_acc': [0.9052388668060303]}
{'loss': [0.24908165633678436], 'acc': [0.914777934551239], 'val_loss': [0.26859480142593384], 'val_acc': [0.9153432250022888]}
{'loss': [0.24829763174057007], 'acc': [0.9181943535804749], 'val_loss': [0.9260600805282593], 'val_acc': [0.6363365650177002]}
{'loss': [0.27569353580474854], 'acc': [0.9052509665489197], 'val_loss': [0.30584442615509033], 'val_acc': [0.9094650149345398]}
{'loss': [0.27356910705566406], 'acc': [0.906329333782196], 'val_loss': [0.5013399124145508], 'val_acc': [0.8685880899429321]}
{'loss': [0.27361002564430237], 'acc': [0.9099417924880981], 'val_loss': [0.284198135137558], 'val_acc': [0.9121289849281311]}
{'loss': [0.26642319560050964], 'acc': [0.9114184975624084], 'val_loss': [0.40116557478904724], 'val_acc': [0.902212917804718]}
{'loss': [0.2649015784263611], 'acc': [0.9153349995613098], 'val_loss': [0.30247601866722107], 'val_acc': [0.9017748832702637]}
{'loss': [0.25835737586021423], 'acc': [0.9133172035217285], 'val_loss': [0.31993672251701355], 'val_acc': [0.9070081114768982]}
{'loss': [0.30113500356674194], 'acc': [0.9074821472167969], 'val_loss': [0.2663666307926178], 'val_acc': [0.9116869568824768]}
{'loss': [0.2401195764541626], 'acc': [0.9209955930709839], 'val_loss': [0.3159772455692291], 'val_acc': [0.9003135561943054]}
{'loss': [0.24387571215629578], 'acc': [0.9177806377410889], 'val_loss': [0.27141809463500977], 'val_acc': [0.9039111733436584]}
{'loss': [0.24150986969470978], 'acc': [0.9230912327766418], 'val_loss': [0.435712993144989], 'val_acc': [0.887557864189148]}
{'loss': [0.2702829837799072], 'acc': [0.9112222194671631], 'val_loss': [0.41005125641822815], 'val_acc': [0.8950211405754089]}
{'loss': [0.26910391449928284], 'acc': [0.9174575805664062], 'val_loss': [0.2900318205356598], 'val_acc': [0.904813826084137]}
{'loss': [0.2497609257698059], 'acc': [0.9195604920387268], 'val_loss': [0.30189135670661926], 'val_acc': [0.9064233303070068]}
{'loss': [0.24842528998851776], 'acc': [0.9185572862625122], 'val_loss': [0.3966117203235626], 'val_acc': [0.8962345719337463]}
{'loss': [0.2797117829322815], 'acc': [0.9037342667579651], 'val_loss': [0.27136948704719543], 'val_acc': [0.9061664342880249]}
{'loss': [0.23962336778640747], 'acc': [0.9228888750076294], 'val_loss': [0.5782610774040222], 'val_acc': [0.878400981426239]}
{'loss': [0.2567861080169678], 'acc': [0.9155393242835999], 'val_loss': [0.2988792359828949], 'val_acc': [0.9035869836807251]}
{'loss': [0.32991933822631836], 'acc': [0.8990831971168518], 'val_loss': [0.294612854719162], 'val_acc': [0.9063971638679504]}
{'loss': [0.27299994230270386], 'acc': [0.9161697030067444], 'val_loss': [0.34029752016067505], 'val_acc': [0.8985807299613953]}
{'loss': [0.2807823121547699], 'acc': [0.907981812953949], 'val_loss': [0.3455488085746765], 'val_acc': [0.9038569331169128]}
{'loss': [0.2753068506717682], 'acc': [0.9107299447059631], 'val_loss': [0.32566189765930176], 'val_acc': [0.8833244442939758]}
{'loss': [0.2826479971408844], 'acc': [0.9142066240310669], 'val_loss': [0.9106493592262268], 'val_acc': [0.8217328786849976]}
{'loss': [0.2628372013568878], 'acc': [0.9136783480644226], 'val_loss': [0.2894117832183838], 'val_acc': [0.9018245935440063]}
{'loss': [0.2789821922779083], 'acc': [0.9098999500274658], 'val_loss': [0.3073722720146179], 'val_acc': [0.894376814365387]}
{'loss': [0.24867624044418335], 'acc': [0.9198909997940063], 'val_loss': [0.3901660442352295], 'val_acc': [0.8971515893936157]}
{'loss': [0.29158201813697815], 'acc': [0.9092908501625061], 'val_loss': [0.3647134304046631], 'val_acc': [0.8943740725517273]}
{'loss': [0.2681904137134552], 'acc': [0.9081696271896362], 'val_loss': [0.3258281350135803], 'val_acc': [0.8978484869003296]}
{'loss': [0.28149908781051636], 'acc': [0.9160299897193909], 'val_loss': [0.3579319715499878], 'val_acc': [0.8903741836547852]}
{'loss': [0.2808685600757599], 'acc': [0.9066262245178223], 'val_loss': [0.7992902994155884], 'val_acc': [0.6907874941825867]}
{'loss': [0.2566470205783844], 'acc': [0.9148008227348328], 'val_loss': [0.45010390877723694], 'val_acc': [0.8865269422531128]}
{'loss': [0.282316118478775], 'acc': [0.9052287936210632], 'val_loss': [0.2864627242088318], 'val_acc': [0.9002976417541504]}
{'loss': [0.28034982085227966], 'acc': [0.9115455150604248], 'val_loss': [0.3743445575237274], 'val_acc': [0.8952921628952026]}
{'loss': [0.2491975724697113], 'acc': [0.9188382625579834], 'val_loss': [0.45319923758506775], 'val_acc': [0.882371723651886]}
{'loss': [0.2708195149898529], 'acc': [0.9053119421005249], 'val_loss': [0.2991776764392853], 'val_acc': [0.8932961821556091]}
{'loss': [0.25471898913383484], 'acc': [0.9161890149116516], 'val_loss': [0.2994648814201355], 'val_acc': [0.9017378687858582]}
{'loss': [0.2867755889892578], 'acc': [0.9128513336181641], 'val_loss': [0.3600877821445465], 'val_acc': [0.8980907797813416]}
{'loss': [0.25463035702705383], 'acc': [0.9180113077163696], 'val_loss': [0.3138831853866577], 'val_acc': [0.9076513051986694]}
{'loss': [0.2605060636997223], 'acc': [0.9157477021217346], 'val_loss': [0.5666182041168213], 'val_acc': [0.7478614449501038]}
