{'loss': [0.41544243693351746], 'acc': [0.9368987083435059], 'val_loss': [0.5551047921180725], 'val_acc': [0.8857564926147461]}
{'loss': [0.32960671186447144], 'acc': [0.9426011443138123], 'val_loss': [0.5876367688179016], 'val_acc': [0.8550224304199219]}
{'loss': [0.2983969449996948], 'acc': [0.9454860091209412], 'val_loss': [0.5445554256439209], 'val_acc': [0.8520452380180359]}
{'loss': [0.2807577848434448], 'acc': [0.947033166885376], 'val_loss': [0.5624814629554749], 'val_acc': [0.8229194283485413]}
{'loss': [0.2657572031021118], 'acc': [0.9486246705055237], 'val_loss': [0.5405229330062866], 'val_acc': [0.8089209198951721]}
{'loss': [0.2525552213191986], 'acc': [0.9501082301139832], 'val_loss': [0.5107241868972778], 'val_acc': [0.8047272562980652]}
{'loss': [0.2422201931476593], 'acc': [0.9512422680854797], 'val_loss': [0.5014950037002563], 'val_acc': [0.7744089961051941]}
{'loss': [0.23115940392017365], 'acc': [0.9529452919960022], 'val_loss': [0.465318500995636], 'val_acc': [0.7913798093795776]}
{'loss': [0.222385972738266], 'acc': [0.9544221758842468], 'val_loss': [0.46409788727760315], 'val_acc': [0.7856296300888062]}
{'loss': [0.2168848067522049], 'acc': [0.9550887942314148], 'val_loss': [0.46328598260879517], 'val_acc': [0.803162693977356]}
{'loss': [0.20979486405849457], 'acc': [0.9565010666847229], 'val_loss': [0.46196600794792175], 'val_acc': [0.8013445734977722]}
{'loss': [0.2033734768629074], 'acc': [0.9575384259223938], 'val_loss': [0.4449326694011688], 'val_acc': [0.8067209720611572]}
{'loss': [0.19994840025901794], 'acc': [0.9577518701553345], 'val_loss': [0.46128737926483154], 'val_acc': [0.8038300275802612]}
{'loss': [0.19340267777442932], 'acc': [0.9590865969657898], 'val_loss': [0.4340042769908905], 'val_acc': [0.8149311542510986]}
{'loss': [0.1884985864162445], 'acc': [0.9600942730903625], 'val_loss': [0.4393385350704193], 'val_acc': [0.8218377232551575]}
{'loss': [0.18374469876289368], 'acc': [0.9607747197151184], 'val_loss': [0.4209411144256592], 'val_acc': [0.828292191028595]}
{'loss': [0.179560124874115], 'acc': [0.9615766406059265], 'val_loss': [0.40271133184432983], 'val_acc': [0.8442941904067993]}
{'loss': [0.17701293528079987], 'acc': [0.9618884921073914], 'val_loss': [0.40689098834991455], 'val_acc': [0.832800567150116]}
{'loss': [0.17192651331424713], 'acc': [0.9629656076431274], 'val_loss': [0.39365777373313904], 'val_acc': [0.8445661067962646]}
{'loss': [0.1681479811668396], 'acc': [0.9635610580444336], 'val_loss': [0.3870675563812256], 'val_acc': [0.845355749130249]}
{'loss': [0.164821058511734], 'acc': [0.9642605781555176], 'val_loss': [0.3898909389972687], 'val_acc': [0.8426583409309387]}
{'loss': [0.16490216553211212], 'acc': [0.9638544321060181], 'val_loss': [0.3907511532306671], 'val_acc': [0.8510433435440063]}
{'loss': [0.15856389701366425], 'acc': [0.9657099843025208], 'val_loss': [0.3786865472793579], 'val_acc': [0.8498513102531433]}
{'loss': [0.16144339740276337], 'acc': [0.9644799828529358], 'val_loss': [0.39215371012687683], 'val_acc': [0.8422194719314575]}
