{'loss': [1.5644705295562744], 'acc': [0.3327617943286896], 'val_loss': [1.3603025674819946], 'val_acc': [0.29289746284484863]}
{'loss': [1.337334394454956], 'acc': [0.3418385088443756], 'val_loss': [1.3380768299102783], 'val_acc': [0.31068697571754456]}
{'loss': [1.3213483095169067], 'acc': [0.35612648725509644], 'val_loss': [1.318543791770935], 'val_acc': [0.33778393268585205]}
{'loss': [1.2185660600662231], 'acc': [0.45186635851860046], 'val_loss': [1.1421520709991455], 'val_acc': [0.4914551079273224]}
{'loss': [1.0552536249160767], 'acc': [0.5411280989646912], 'val_loss': [1.1083825826644897], 'val_acc': [0.5158528089523315]}
{'loss': [0.9898486137390137], 'acc': [0.567314863204956], 'val_loss': [0.9453876614570618], 'val_acc': [0.5790950655937195]}
{'loss': [0.9357718825340271], 'acc': [0.5893568992614746], 'val_loss': [0.905195951461792], 'val_acc': [0.5929014086723328]}
{'loss': [0.8890742063522339], 'acc': [0.6101655960083008], 'val_loss': [0.9639080762863159], 'val_acc': [0.5539392232894897]}
{'loss': [0.8599032759666443], 'acc': [0.6205523014068604], 'val_loss': [0.8611690998077393], 'val_acc': [0.6211848258972168]}
{'loss': [0.8414117097854614], 'acc': [0.6274197697639465], 'val_loss': [0.9448623657226562], 'val_acc': [0.5672467350959778]}
{'loss': [0.8099230527877808], 'acc': [0.6402685642242432], 'val_loss': [0.8829156756401062], 'val_acc': [0.6172393560409546]}
{'loss': [0.7882189750671387], 'acc': [0.6499276161193848], 'val_loss': [1.2078452110290527], 'val_acc': [0.5605705976486206]}
{'loss': [0.7753186225891113], 'acc': [0.655090868473053], 'val_loss': [0.8691248297691345], 'val_acc': [0.6143035292625427]}
{'loss': [0.7564910054206848], 'acc': [0.662276566028595], 'val_loss': [0.9073927998542786], 'val_acc': [0.621871292591095]}
{'loss': [0.7427964210510254], 'acc': [0.6691310405731201], 'val_loss': [1.0270715951919556], 'val_acc': [0.6145116090774536]}
{'loss': [0.7334592342376709], 'acc': [0.6723181009292603], 'val_loss': [0.9493956565856934], 'val_acc': [0.5957485437393188]}
{'loss': [0.7221128940582275], 'acc': [0.6780898571014404], 'val_loss': [0.9654175639152527], 'val_acc': [0.6176996231079102]}
{'loss': [0.7063301205635071], 'acc': [0.6843796372413635], 'val_loss': [1.0317400693893433], 'val_acc': [0.5989512801170349]}
{'loss': [0.696252167224884], 'acc': [0.6888348460197449], 'val_loss': [1.1719928979873657], 'val_acc': [0.5553109645843506]}
{'loss': [0.6866708397865295], 'acc': [0.6928354501724243], 'val_loss': [0.7739564776420593], 'val_acc': [0.6597328186035156]}
{'loss': [0.677229642868042], 'acc': [0.6979255676269531], 'val_loss': [0.8249772191047668], 'val_acc': [0.6461095213890076]}
{'loss': [0.667955756187439], 'acc': [0.7013139128684998], 'val_loss': [0.8254902362823486], 'val_acc': [0.639639139175415]}
{'loss': [0.652442216873169], 'acc': [0.7078139185905457], 'val_loss': [1.090547800064087], 'val_acc': [0.6047109961509705]}
{'loss': [0.6516329646110535], 'acc': [0.7076660990715027], 'val_loss': [0.8804208636283875], 'val_acc': [0.6320146918296814]}
{'loss': [0.6437332034111023], 'acc': [0.7122265696525574], 'val_loss': [0.9248626828193665], 'val_acc': [0.627885103225708]}
{'loss': [0.64346843957901], 'acc': [0.7124847173690796], 'val_loss': [0.9199994802474976], 'val_acc': [0.6166571974754333]}
