{'loss': [1.2018135786056519], 'acc': [0.4289339482784271], 'val_loss': [0.9073361158370972], 'val_acc': [0.5819945335388184]}
{'loss': [0.7598116397857666], 'acc': [0.6678346991539001], 'val_loss': [0.7421784400939941], 'val_acc': [0.6571839451789856]}
{'loss': [0.6228491067886353], 'acc': [0.735983669757843], 'val_loss': [0.7600275278091431], 'val_acc': [0.6677492260932922]}
{'loss': [0.524856686592102], 'acc': [0.7860550284385681], 'val_loss': [0.861569344997406], 'val_acc': [0.6698247194290161]}
{'loss': [0.45186126232147217], 'acc': [0.8212277889251709], 'val_loss': [0.8999764919281006], 'val_acc': [0.6524739265441895]}
{'loss': [0.4004003703594208], 'acc': [0.8452480435371399], 'val_loss': [1.013350248336792], 'val_acc': [0.6375927329063416]}
{'loss': [0.36008739471435547], 'acc': [0.8627465963363647], 'val_loss': [1.1092448234558105], 'val_acc': [0.6371062397956848]}
{'loss': [0.32897570729255676], 'acc': [0.8766010999679565], 'val_loss': [1.2083053588867188], 'val_acc': [0.6464385986328125]}
{'loss': [0.3011395335197449], 'acc': [0.8895647525787354], 'val_loss': [1.2395089864730835], 'val_acc': [0.6336522698402405]}
{'loss': [0.2774868607521057], 'acc': [0.9003469944000244], 'val_loss': [1.2894963026046753], 'val_acc': [0.6198793053627014]}
{'loss': [0.25749000906944275], 'acc': [0.9086105823516846], 'val_loss': [1.384674072265625], 'val_acc': [0.6090569496154785]}
