{'loss': [0.4682249128818512], 'acc': [0.8266685605049133], 'val_loss': [0.38660991191864014], 'val_acc': [0.864778459072113]}
{'loss': [0.35841891169548035], 'acc': [0.8771885633468628], 'val_loss': [0.4811211824417114], 'val_acc': [0.8143718838691711]}
{'loss': [0.33743974566459656], 'acc': [0.8848835825920105], 'val_loss': [0.34423965215682983], 'val_acc': [0.8726027607917786]}
{'loss': [0.32424333691596985], 'acc': [0.8904002904891968], 'val_loss': [0.33977049589157104], 'val_acc': [0.877689003944397]}
{'loss': [0.31791621446609497], 'acc': [0.8927797675132751], 'val_loss': [0.37188661098480225], 'val_acc': [0.8653916120529175]}
{'loss': [0.31314873695373535], 'acc': [0.8946902751922607], 'val_loss': [0.32862257957458496], 'val_acc': [0.8784335255622864]}
{'loss': [0.308959424495697], 'acc': [0.8963704109191895], 'val_loss': [0.3800777792930603], 'val_acc': [0.8561094403266907]}
{'loss': [0.30522456765174866], 'acc': [0.8976171016693115], 'val_loss': [0.32581931352615356], 'val_acc': [0.8784565329551697]}
{'loss': [0.30265456438064575], 'acc': [0.8986244797706604], 'val_loss': [0.3320015072822571], 'val_acc': [0.8841140866279602]}
{'loss': [0.3009355962276459], 'acc': [0.899155855178833], 'val_loss': [0.33205386996269226], 'val_acc': [0.8784581422805786]}
{'loss': [0.3002118468284607], 'acc': [0.899181604385376], 'val_loss': [0.33608943223953247], 'val_acc': [0.8731653094291687]}
{'loss': [0.29883792996406555], 'acc': [0.8997943997383118], 'val_loss': [0.32899007201194763], 'val_acc': [0.8822285532951355]}
{'loss': [0.29762473702430725], 'acc': [0.9004057049751282], 'val_loss': [0.33280646800994873], 'val_acc': [0.8767029643058777]}
{'loss': [0.296845942735672], 'acc': [0.9007189273834229], 'val_loss': [0.3320067226886749], 'val_acc': [0.8751166462898254]}
{'loss': [0.2963513433933258], 'acc': [0.9005548357963562], 'val_loss': [0.3264845609664917], 'val_acc': [0.8882386684417725]}
{'loss': [0.2953915297985077], 'acc': [0.9010262489318848], 'val_loss': [0.33898353576660156], 'val_acc': [0.8818556666374207]}
{'loss': [0.29399582743644714], 'acc': [0.9015403985977173], 'val_loss': [0.3314276933670044], 'val_acc': [0.876792848110199]}
{'loss': [0.2944651246070862], 'acc': [0.9010714292526245], 'val_loss': [0.3262067437171936], 'val_acc': [0.8850062489509583]}
{'loss': [0.2926080822944641], 'acc': [0.9017106890678406], 'val_loss': [0.33065280318260193], 'val_acc': [0.8806601762771606]}
{'loss': [0.2920062243938446], 'acc': [0.9015483260154724], 'val_loss': [0.32658809423446655], 'val_acc': [0.87901771068573]}
